Contact_ID,Start_Term_and_Year,Program_Desc,IPEDS_Ethnicities,IPEDS_Hispanic,Sex,Created_Date,Complete_Date,Admit_Date,Deposit_Date
000028,Fall 2021,Management - MS,Black/African American,Non-Hispanic,Male,12/30/2020,,,
000029,Fall 2020,Accounting - M.S.,Asian,Non-Hispanic,Male,8/27/2019,,,
000030,Fall 2022,Management - MS,Asian,Non-Hispanic,Female,8/15/2018,7/1/2022,7/15/2022,
000031,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,12/14/2018,4/22/2019,5/15/2019,7/15/2019
000032,Fall 2022,Accounting - MS,Asian,Non-Hispanic,Female,1/31/2022,7/9/2022,7/22/2022,7/25/2022
000033,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Male,9/11/2019,,,
000034,Fall 2020,Business Administration - MBA,Prefer to not respond,Non-Hispanic,Male,4/19/2020,,,
000035,Fall 2022,Accounting - MS,White/Caucasian,Non-Hispanic,Male,9/17/2021,11/30/2021,,
000036,Fall 2021,Real Estate Development - MS,Asian,Non-Hispanic,Female,5/29/2020,2/1/2021,3/2/2021,
000037,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,8/15/2018,5/20/2020,5/29/2020,5/29/2020
000038,Fall 2022,Business - PHD,Black/African American,Non-Hispanic,Female,11/11/2021,2/23/2022,2/27/2022,3/1/2022
000039,Spring 2022,Technology Management - MS,White/Caucasian,Non-Hispanic,Male,5/13/2021,8/17/2021,8/26/2021,10/12/2021
000040,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,8/15/2018,4/23/2019,5/17/2019,5/18/2019
000041,Fall 2019,Business Adminstration - MBA,Not Reported,Non-Hispanic,Female,8/15/2018,,,
000042,Fall 2022,Business Administration - MBA,Prefer to not respond,Non-Hispanic,Female,10/31/2021,,,
000043,Fall 2020,Business Administration - MBA,Asian,Hispanic,Female,5/13/2020,,,
000044,Fall 2022,Business Administration - MBA,Black/African American,Non-Hispanic,Prefer to not respond,4/30/2021,9/20/2021,9/20/2021,
000045,Fall 2019,Real Estate Development - MS,Black/African American,Non-Hispanic,Male,7/12/2019,7/24/2019,7/25/2019,8/5/2019
000046,Fall 2022,Accounting - MS,Black/African American,Non-Hispanic,Male,11/10/2020,5/25/2022,6/3/2022,6/5/2022
000047,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Female,3/12/2020,10/11/2021,10/11/2021,
000048,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,5/21/2019,6/25/2020,7/3/2020,7/5/2020
000049,Fall 2020,Business Administration - MBA,White/Caucasian,Hispanic,Male,5/25/2020,,,
000050,Fall 2022,Business - PHD,Asian,Hispanic,Female,10/5/2021,11/23/2021,,
000051,Spring 2021,Technology Management - MS,Not Reported,Non-Hispanic,Male,5/17/2019,8/28/2020,8/28/2020,
000052,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Male,9/10/2019,,,
000053,Fall 2022,Business - PHD,Asian,Non-Hispanic,Male,1/8/2022,2/17/2022,,
000054,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,8/15/2019,5/6/2020,6/2/2020,
000055,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Female,5/15/2019,7/1/2019,7/20/2019,7/24/2019
000056,Spring 2022,Technology Management - MS,White/Caucasian,Hispanic,Female,5/28/2020,5/7/2021,5/7/2021,
000057,Fall 2021,Management - MS,White/Caucasian,Non-Hispanic,Female,9/14/2020,1/19/2021,1/28/2021,
000058,Fall 2019,Accounting - MS,Not Reported,Non-Hispanic,Female,8/15/2018,4/26/2019,,
000059,Fall 2021,Accounting - MS,Asian,Non-Hispanic,Female,1/23/2021,2/9/2021,2/27/2021,3/18/2021
000060,Fall 2022,Business Administration - MBA,Black/African American,Non-Hispanic,Female,10/31/2021,1/28/2022,2/4/2022,6/4/2022
000061,Fall 2021,Business Administration - MBA,Not Reported,Non-Hispanic,Male,11/28/2018,1/19/2021,,
000062,Fall 2022,Management - MS,Not Reported,Non-Hispanic,Male,8/29/2021,5/4/2022,5/14/2022,6/6/2022
000063,Spring 2022,Technology Management - MS,White/Caucasian,Hispanic,Female,4/22/2019,5/7/2021,5/7/2021,
000064,Fall 2020,Business Administration - MBA,Not Reported,Non-Hispanic,Male,5/22/2020,,,
000065,Fall 2020,Management - MS,White/Caucasian,Non-Hispanic,Female,1/6/2020,1/27/2020,2/12/2020,
000066,Fall 2022,Accounting - MS,White/Caucasian,Non-Hispanic,Male,11/19/2021,1/18/2022,1/20/2022,4/26/2022
000067,Spring 2020,Real Estate Development - MS,Not Reported,Non-Hispanic,Male,9/16/2019,10/23/2019,10/24/2019,10/28/2019
000068,Fall 2021,Accounting - MS,Asian,Non-Hispanic,Female,9/20/2018,1/11/2021,2/17/2021,2/17/2021
000069,Fall 2020,Management - MS,Not Reported,Non-Hispanic,Female,4/3/2020,4/30/2020,5/14/2020,5/30/2020
000070,Fall 2020,Accounting - M.S.,White/Caucasian,Hispanic,Male,3/24/2020,4/29/2020,5/1/2020,5/4/2020
000071,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Female,8/30/2018,8/4/2020,8/7/2020,8/10/2020
000072,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,12/30/2019,2/7/2020,,
000073,Fall 2019,Accounting - MS,Black/African American,Non-Hispanic,Male,10/15/2018,7/10/2019,,
000074,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,1/22/2020,,,
000075,Fall 2022,Business - PHD,White/Caucasian,Non-Hispanic,Male,1/14/2022,2/2/2022,,
000076,Fall 2021,Business - PHD,White/Caucasian,Non-Hispanic,Male,2/12/2021,,,
000077,Fall 2022,Business Administration - MBA,Two or More,Non-Hispanic,Male,1/30/2021,2/10/2022,2/19/2022,2/28/2022
000078,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,12/16/2019,7/1/2020,7/20/2020,
000079,Fall 2021,Business Administration - MBA,Black/African American,Non-Hispanic,Female,9/22/2020,3/10/2021,3/18/2021,
000080,Spring 2020,Technology Management - MS,Not Reported,Non-Hispanic,Male,9/26/2019,,,
000081,Fall 2020,Management - MS,White/Caucasian,Non-Hispanic,Female,5/3/2020,,,
000082,Fall 2020,Real Estate Development - MS,Black/African American,Non-Hispanic,Female,6/7/2020,7/10/2020,,
000083,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Male,8/9/2021,5/5/2022,5/13/2022,7/18/2022
000084,Fall 2021,Accounting - MS,Asian,Non-Hispanic,Male,1/2/2021,1/29/2021,1/30/2021,2/1/2021
000085,Fall 2021,Accounting - MS,Black/African American,Non-Hispanic,Male,3/3/2021,,,
000086,Fall 2021,Management - MS,Prefer to not respond,Non-Hispanic,Male,4/1/2021,8/14/2021,8/14/2021,8/16/2021
000087,Fall 2020,Real Estate Development - MS,Prefer to not respond,Non-Hispanic,Male,1/5/2020,2/14/2020,2/21/2020,6/24/2020
000088,Fall 2022,Accounting - MS,White/Caucasian,Hispanic,Male,8/9/2021,11/15/2021,11/17/2021,12/9/2021
000089,Fall 2020,Management - MS,White/Caucasian,Non-Hispanic,Male,5/23/2020,,,
000090,Fall 2019,Business Adminstration - MBA,Black/African American,Non-Hispanic,Female,3/27/2019,,,
000091,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Female,8/15/2018,6/18/2020,6/26/2020,7/13/2020
000092,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,1/19/2019,2/6/2019,,
000093,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Male,9/20/2018,7/27/2020,8/6/2020,8/9/2020
000094,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Female,4/3/2020,,,
000095,Fall 2020,Business Administration - MBA,Not Reported,Non-Hispanic,Female,6/25/2020,,,
000096,Fall 2022,Accounting - MS,Asian,Non-Hispanic,Male,11/27/2020,9/20/2021,9/20/2021,
000097,Fall 2021,Business Administration - MBA,Asian,Non-Hispanic,Male,10/24/2019,9/21/2020,9/21/2020,
000098,Spring 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Female,8/21/2019,10/16/2019,10/18/2019,
000099,Fall 2019,Business Adminstration - MBA,Black/African American,Non-Hispanic,Male,1/11/2019,7/8/2019,7/11/2019,
000100,Fall 2021,Business Administration - MBA,Black/African American,Non-Hispanic,Male,1/3/2020,9/21/2020,9/21/2020,4/30/2020
000101,Fall 2022,Management - MS,Black/African American,Non-Hispanic,Male,6/4/2020,5/24/2022,5/24/2022,5/24/2022
000102,Fall 2022,Real Estate Development - MS,Asian,Hispanic,Male,1/16/2022,,,
000103,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Female,7/2/2019,4/28/2020,5/1/2020,5/20/2020
000104,Fall 2020,Real Estate Development - MS,Black/African American,Non-Hispanic,Male,7/8/2020,7/30/2020,8/5/2020,8/10/2020
000105,Spring 2022,Technology Management - MS,Black/African American,Non-Hispanic,Male,10/5/2018,9/10/2021,9/24/2021,
000106,Fall 2021,Business Administration - MBA,Not Reported,Non-Hispanic,Female,12/7/2020,,,
000107,Fall 2022,Management - MS,Black/African American,Non-Hispanic,Female,1/26/2022,,,
000108,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,11/21/2018,2/28/2019,3/6/2019,5/13/2019
000109,Fall 2020,Accounting - M.S.,Asian,Non-Hispanic,Male,1/7/2020,1/8/2020,1/10/2020,4/23/2020
000110,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,5/29/2019,7/2/2019,7/20/2019,7/26/2019
000111,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Female,1/19/2022,3/7/2022,3/15/2022,
000112,Fall 2022,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,4/26/2022,5/5/2022,5/16/2022,5/18/2022
000113,Fall 2020,Business Administration - MBA,Two or More,Non-Hispanic,Male,1/9/2020,1/29/2020,2/5/2020,2/17/2020
000114,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Male,12/11/2019,,,
000115,Fall 2022,Management - MS,Black/African American,Non-Hispanic,Female,1/21/2022,,,
000116,Fall 2022,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,4/24/2022,,,
000117,Fall 2020,Management - MS,Asian,Non-Hispanic,Male,1/2/2019,8/10/2020,8/14/2020,8/14/2020
000118,Fall 2022,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,1/5/2021,4/5/2022,4/12/2022,6/6/2022
000119,Fall 2022,Management - MS,White/Caucasian,Non-Hispanic,Male,12/3/2021,2/4/2022,2/15/2022,
000120,Fall 2020,Management - MS,Black/African American,Non-Hispanic,Female,12/18/2019,,,
000121,Spring 2021,Real Estate Development - MS,Prefer to not respond,Non-Hispanic,Female,10/22/2020,10/29/2020,11/5/2020,11/6/2020
000122,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Female,12/7/2018,12/19/2019,1/10/2020,
000123,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,2/21/2019,,,
000124,Fall 2021,Management - MS,Black/African American,Hispanic,Female,1/15/2021,2/9/2021,,
000125,Fall 2019,Management - MS,Asian,Non-Hispanic,Male,2/20/2019,3/20/2019,4/9/2019,4/29/2019
000126,Fall 2022,Technology Management - MS,Prefer to not respond,Non-Hispanic,Female,1/23/2022,5/16/2022,5/16/2022,
000127,Fal 2021,Business Administration - MBA,Not Reported,Non-Hispanic,Male,1/7/2020,10/12/2020,10/23/2020,
000128,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,8/20/2019,11/25/2019,12/4/2019,12/22/2019
000129,Fall 2022,Business - PHD,Black/African American,Non-Hispanic,Male,1/12/2022,3/3/2022,,
000130,Fall 2019,Business Adminstration - MBA,Black/African American,Non-Hispanic,Male,1/7/2019,2/4/2019,2/22/2019,4/22/2019
000131,Fall 2019,Business Adminstration - MBA,Asian,Hispanic,Female,10/15/2018,8/12/2019,8/12/2019,7/30/2019
000132,Fall 2021,Management - MS,Asian,Non-Hispanic,Male,8/15/2018,9/21/2020,9/21/2020,
000133,Fall 2021,Finance - MS,White/Caucasian,Non-Hispanic,Male,5/17/2021,7/1/2021,7/10/2021,7/26/2021
000134,Spring 2022,Real Estate Development - MS,Asian,Non-Hispanic,Male,4/19/2021,,,
000135,Spring 2022,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Male,5/27/2021,12/8/2021,,
000136,Fall 2022,Business - PHD,White/Caucasian,Hispanic,Female,12/12/2021,2/17/2022,,
000137,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Male,9/6/2019,5/5/2020,5/8/2020,5/9/2020
000138,Fall 2022,Business - PHD,Black/African American,Non-Hispanic,Female,7/12/2021,10/13/2021,,
000139,Fall 2020,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Male,5/31/2020,7/6/2020,7/8/2020,7/12/2020
000140,Fall 2021,Accounting - MS,White/Caucasian,Non-Hispanic,Male,5/14/2021,7/18/2021,7/27/2021,7/31/2021
000141,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Female,9/18/2019,,,
000142,Fall 2021,Business Administration - MBA,Asian,Non-Hispanic,Male,12/6/2020,,,
000143,Fall 2020,Business Administration - MBA,Prefer to not respond,Non-Hispanic,Male,5/13/2020,6/11/2020,6/18/2020,
000144,Fall 2021,Accounting - MS,White/Caucasian,Non-Hispanic,Female,6/27/2021,7/8/2021,7/10/2021,
000145,Fall 2022,Business Administration - MBA,White/Caucasian,Hispanic,Male,11/30/2021,,,
000146,Fall 2020,Accounting - M.S.,Not Reported,Hispanic,Male,12/11/2019,4/21/2020,4/24/2020,4/26/2020
000147,Fall 2021,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,4/20/2021,,,
000148,Fall 2021,Business Administration - MBA,White/Caucasian,Non-Hispanic,Prefer to not respond,11/9/2020,1/11/2021,1/15/2021,
000149,Fall 2021,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Male,1/9/2021,,,
000150,Fall 2021,Business Administration - MBA,Black/African American,Non-Hispanic,Male,1/12/2021,,,
000151,Fall 2019,Management - MS,Black/African American,Non-Hispanic,Male,4/6/2019,6/11/2019,6/26/2019,
000152,Fall 2022,Real Estate Development - MS,Asian,Non-Hispanic,Female,5/22/2019,3/26/2022,,
000153,Fall 2021,Accounting - MS,Asian,Non-Hispanic,Male,7/17/2019,4/12/2021,4/21/2021,7/1/2021
000154,Spring 2020,Technology Management - MS,Prefer to not respond,Non-Hispanic,Male,9/26/2019,12/17/2019,12/17/2019,12/17/2019
000155,Spring 2021,Technology Management - MS,White/Caucasian,Non-Hispanic,Female,10/15/2018,10/8/2020,10/29/2020,10/29/2020
000156,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,3/7/2019,4/22/2020,5/1/2020,5/7/2020
000157,Fall 2022,Business - PHD,White/Caucasian,Non-Hispanic,Male,11/16/2021,5/31/2022,6/2/2022,8/11/2022
000158,Fall 2020,Accounting - M.S.,Asian,Non-Hispanic,Female,1/21/2020,2/5/2020,3/21/2020,4/29/2020
000159,Fall 2020,Business Administration - MBA,Not Reported,Hispanic,Male,2/17/2020,4/29/2020,5/8/2020,5/19/2020
000160,Fall 2022,Accounting - MS,Asian,Non-Hispanic,Female,2/18/2021,9/27/2021,9/27/2021,8/3/2021
000161,Fall 2022,Real Estate Deveopment - MS,Asian,Non-Hispanic,Male,7/18/2022,8/5/2022,8/11/2022,8/14/2022
000162,Fall 2020,Management - MS,Asian,Non-Hispanic,Male,5/29/2020,7/15/2020,7/28/2020,8/7/2020
000163,Fall 2022,Business Administration - MBA,Black/African American,Non-Hispanic,Female,3/12/2022,4/26/2022,5/3/2022,5/4/2022
000164,Spring 2021,Technology Management - MS,Asian,Non-Hispanic,Male,9/30/2019,9/8/2020,10/23/2020,
000165,Fall 2020,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Female,10/4/2019,8/4/2020,,
000166,Fall 2019,Business Adminstration - MBA,Black/African American,Hispanic,Male,5/14/2019,,,
000167,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,12/9/2019,2/4/2020,2/7/2020,
000168,Fall 2020,Management - MS,Asian,Non-Hispanic,Female,1/10/2020,4/1/2020,4/1/2020,
000169,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,1/15/2020,3/4/2020,3/13/2020,
000170,Fall 2019,Business Adminstration - MBA,Not Reported,Non-Hispanic,Female,6/27/2019,7/10/2019,7/19/2019,
000171,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,9/24/2019,10/30/2019,11/5/2019,11/15/2019
000172,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Male,1/29/2020,,,
000173,Fall 2019,Accounting - MS,White/Caucasian,Non-Hispanic,Male,11/3/2018,1/10/2019,3/7/2019,4/10/2019
000174,Fall 2021,Real Estate Development - MS,Black/African American,Non-Hispanic,Female,11/4/2020,3/12/2021,3/16/2021,3/16/2021
000175,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,11/5/2018,12/18/2018,2/8/2019,3/8/2019
000176,Fall 2021,Business Administration - MBA,Black/African American,Non-Hispanic,Male,2/23/2021,,,
000177,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Male,4/18/2019,7/2/2019,7/16/2019,
000178,Fall 2019,Accounting - MS,Black/African American,Non-Hispanic,Female,1/15/2019,2/16/2019,3/8/2019,
000179,Fall 2021,Business Administration - MBA,Asian,Non-Hispanic,Female,3/12/2020,9/21/2020,9/21/2020,4/30/2021
000180,Fall 2020,Management - MS,Black/African American,Non-Hispanic,Male,2/6/2020,,,
000181,Fall 2020,Business Administration - MBA,Black/African American,Non-Hispanic,Male,10/24/2019,12/10/2019,7/14/2020,
000182,Fall 2021,Real Estate Development - MS,Not Reported,Non-Hispanic,Female,8/25/2019,4/13/2021,4/13/2021,
000183,Fall 2022,Accounting - MS,Prefer to not respond,Non-Hispanic,Female,11/16/2021,4/30/2022,5/13/2022,5/14/2022
000184,Fall 2020,Accounting - M.S.,Not Reported,Non-Hispanic,Male,10/7/2019,,,
000185,Fall 2020,Management - MS,Black/African American,Non-Hispanic,Female,8/15/2018,5/10/2020,5/27/2020,
000186,Fall 2022,Business - PHD,White/Caucasian,Non-Hispanic,Male,12/16/2021,2/22/2022,,
000187,Fall 2021,Management - MS,Asian,Non-Hispanic,Female,12/4/2020,12/21/2020,11/3/2021,2/3/2021
000188,Fall 2019,Real Estate Development - MS,Asian,Non-Hispanic,Male,7/14/2019,7/18/2019,7/20/2019,7/25/2019
000189,Fall 2019,Accounting - MS,White/Caucasian,Non-Hispanic,Male,12/2/2018,2/4/2019,7/20/2019,
000190,Fall 2020,Business Administration - MBA,White/Caucasian,Hispanic,Male,11/5/2019,1/15/2020,2/8/2020,2/11/2020
000191,Fall 2022,Business Administration - MBA,Black/African American,Non-Hispanic,Female,4/2/2022,4/12/2022,4/22/2022,
000192,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,6/30/2019,7/2/2019,7/6/2019,8/6/2019
000193,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Male,3/9/2020,,,
000194,Fall 2022,Real Estate Development - MS,White/Caucasian,Hispanic,Female,1/14/2021,2/19/2022,2/19/2022,
000195,Fall 2019,Management - MS,Asian,Non-Hispanic,Female,2/13/2019,7/8/2019,,
000196,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Male,8/15/2018,10/11/2021,11/13/2021,11/18/2021
000197,Fall 2019 ,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,11/27/2018,1/28/2019,2/22/2019,
000198,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,5/6/2019,6/23/2020,7/13/2020,7/13/2020
000199,Fall 2021,Management - MS,White/Caucasian,Non-Hispanic,Male,7/8/2021,,,
000200,Fall 2022,Finance - MS,Black/African American,Non-Hispanic,Male,1/18/2022,4/27/2022,5/11/2022,5/14/2022
000201,Fall 2020,Management - MS,Black/African American,Non-Hispanic,Female,8/15/2018,3/25/2020,,
000202,Fall 2020,Business Administration - MBA,Asian,Non-Hispanic,Male,5/4/2020,6/1/2020,6/5/2020,
000203,Fall 2021,Business Administration - MBA,Prefer to not respond,Non-Hispanic,Male,6/9/2021,7/6/2021,7/12/2021,7/13/2021
000204,Fall 2020,Accounting - M.S.,Black/African American,Non-Hispanic,Male,7/31/2018,4/17/2020,4/24/2020,4/26/2020
000205,Fall 2022,Management - MS,White/Caucasian,Non-Hispanic,Male,11/2/2020,2/11/2022,3/5/2022,5/26/2022
000206,Fall 2022,Management - MS,White/Caucasian,Non-Hispanic,Female,2/11/2022,,,
000207,Spring 2022,Technology Management - MS,White/Caucasian,Non-Hispanic,Male,10/15/2018,11/2/2021,11/2/2021,10/29/2020
000208,Fall 2022,Management - MS,Not Reported,Non-Hispanic,Male,2/18/2021,9/20/2021,9/20/2021,2/7/2022
000209,Fall 2021,Finance - MS,White/Caucasian,Non-Hispanic,Female,3/8/2021,5/21/2021,5/31/2021,6/5/2021
000210,Fall 2021,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Female,1/3/2021,1/20/2021,1/28/2021,4/22/2021
000211,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Female,1/24/2022,7/1/2022,7/8/2022,7/15/2022
000212,Fall 2021,Accounting - MS,Black/African American,Non-Hispanic,Female,12/18/2020,12/22/2020,12/23/2020,
000213,Fall 2022,Management - MS,Asian,Non-Hispanic,Male,11/28/2021,2/1/2022,2/1/2022,
000214,Fall 2021,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Female,7/2/2019,7/30/2021,8/4/2021,8/4/2021
000215,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Male,11/27/2019,12/3/2019,12/13/2019,
000216,Fall 2021,Accounting - MS,Asian,Hispanic,Male,9/13/2019,1/12/2021,1/19/2021,1/19/2021
000217,Fall 2019,Accounting - MS,White/Caucasian,Non-Hispanic,Female,3/27/2019,5/13/2019,6/26/2019,7/13/2019
000218,Fall 2022,Accounting - MS,Asian,Non-Hispanic,Female,10/5/2018,4/26/2022,5/10/2022,5/12/2022
000219,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Female,8/15/2018,2/11/2019,3/5/2019,4/12/2019
000220,Fall 2022,Finance - MS,Not Reported,Hispanic,Female,7/16/2021,9/22/2021,9/28/2021,
000221,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Male,1/6/2021,9/22/2021,9/22/2021,
000222,Fall 2022,Business Administration - MBA,Asian,Non-Hispanic,Male,1/31/2022,,,
000223,Fall 2022,Management - MS,Black/African American,Non-Hispanic,Male,5/17/2021,2/9/2022,2/25/2022,4/12/2022
000224,Fall 2020,Accounting - M.S.,White/Caucasian,Non-Hispanic,Male,5/20/2019,8/14/2020,,
000225,Fall 2022,Accounting - MS,White/Caucasian,Non-Hispanic,Male,3/10/2022,4/29/2022,5/13/2022,5/20/2022
000226,Fall 2020,Accounting - M.S.,Two or More,Non-Hispanic,Male,8/15/2018,7/31/2020,8/7/2020,
000227,Fall 2022,Management - MS,White/Caucasian,Non-Hispanic,Male,7/20/2021,4/6/2022,4/15/2022,6/29/2022
000228,Fall 2022,Management - MS,Asian,Non-Hispanic,Male,11/17/2020,12/6/2021,,
000229,Fall 2021,Management - MS,Asian,Non-Hispanic,Male,8/31/2020,10/13/2020,12/4/2020,12/16/2020
000230,Fall 2022,Management - MS,Prefer to not respond,Non-Hispanic,Female,12/1/2021,2/7/2022,2/15/2022,6/1/2022
000231,Fall 2021,Business Administration - MBA,Native American,Non-Hispanic,Female,2/22/2021,,,
000232,Fall 2021,Finance - MS,White/Caucasian,Non-Hispanic,Female,5/26/2021,8/10/2021,,
000233,Spring 2020,Technology Management - MS,Black/African American,Non-Hispanic,Female,9/6/2019,10/28/2019,11/13/2019,12/4/2019
000234,Fall 2021,Management - MS,Asian,Non-Hispanic,Female,11/1/2020,1/12/2021,1/29/2021,3/23/2021
000235,Fall 2019,Business Adminstration - MBA,Asian,Non-Hispanic,Female,9/20/2018,2/8/2019,3/13/2019,3/18/2019
000236,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,4/15/2019,6/3/2019,6/29/2019,
